City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,54.32,light rain,-33.65,115.3333,Observatory Guest House
1,Viedma,AR,68.05,overcast clouds,-40.8135,-62.9967,Hotel Cristal
2,Puerto Ayora,EC,81.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
3,Turan,VN,75.18,few clouds,16.0678,108.2208,Grand Mercure Danang
4,Torbay,CA,49.28,overcast clouds,47.6666,-52.7314,Gallows Cove
5,Praia Da Vitoria,PT,61.05,scattered clouds,38.7333,-27.0667,Hotel Branco I
6,Goderich,CA,37.9,overcast clouds,43.7501,-81.7165,Harmony Inn
7,Yulara,AU,60.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
8,Port Elizabeth,ZA,67.1,scattered clouds,-33.918,25.5701,39 On Nile Guest House
9,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
10,Ponta Do Sol,PT,68.63,scattered clouds,32.6667,-17.1,Hotel do Campo
11,Cherskiy,RU,-15.02,overcast clouds,68.75,161.3,Gostinitsa
12,Bandarbeyla,SO,81.57,clear sky,9.4942,50.8122,JABIR HOTEL
13,Olga,RU,39.06,overcast clouds,43.7444,135.2892,Gostinitsa Rosmorport.
14,Punta Arenas,CL,50.11,clear sky,-53.15,-70.9167,Hotel Hain
15,Zheleznodorozhnyy,RU,45.12,overcast clouds,55.7503,38.0042,Hotel Dali
16,Barrow,US,-9.38,overcast clouds,71.2906,-156.7887,King Eider Inn
17,Nizwa,OM,87.28,overcast clouds,22.9333,57.5333,Orient Apartments
18,Tasiilaq,GL,30.36,scattered clouds,65.6145,-37.6368,The Red House
19,Severo-Kurilsk,RU,29.7,overcast clouds,50.6789,156.125,Kak Doma
20,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
21,Jamestown,US,38.52,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
22,Naze,JP,67.12,overcast clouds,28.3667,129.4833,Shishime Hotel
23,Khatanga,RU,1.22,overcast clouds,71.9667,102.5,"""Khatanga"""
24,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
25,Mayumba,GA,79.18,overcast clouds,-3.432,10.6554,LIKWALE LODGE
28,Mount Gambier,AU,57.11,broken clouds,-37.8333,140.7667,The Commodore
29,La Ronge,CA,23.25,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
30,Iqaluit,CA,26.33,light snow,63.7506,-68.5145,Frobisher Inn
31,Ushuaia,AR,46.06,broken clouds,-54.8,-68.3,Albatross Hotel
32,Upernavik,GL,5.9,broken clouds,72.7868,-56.1549,Café de Upernavik
33,Trinidad,BO,85.69,scattered clouds,-14.8333,-64.9,Hotel Piesta
34,Guerrero Negro,MX,68.22,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
35,Hermanus,ZA,66.79,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
37,Balabac,PH,74.55,light rain,7.9868,117.0645,Batalla’s Lodging House
38,Coquimbo,CL,60.53,broken clouds,-29.9533,-71.3436,Hotel San Juan
39,Mar Del Plata,AR,75.09,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
40,Ngorongoro,TZ,55.76,overcast clouds,-3.2397,35.4875,Simba Special Campsite B
41,Hithadhoo,MV,83.84,scattered clouds,-0.6,73.0833,Scoop Guest House
42,Mahon,ES,57.76,clear sky,39.8885,4.2658,ARTIEM Capri
43,Chuy,UY,76.82,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
44,New Norfolk,AU,53.65,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
45,Basco,PH,79.02,broken clouds,20.4487,121.9702,Nathaniel's Lodge
46,Lebu,CL,56.08,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
47,Baiyin,CN,55.0,scattered clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
48,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
49,Grindavik,IS,40.95,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
50,Obigarm,TJ,62.58,overcast clouds,38.7173,69.7088,Гармоба
51,Miri,MY,75.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
52,Lompoc,US,72.61,haze,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
53,Tautira,PF,81.7,light rain,-17.7333,-149.15,Pension Oaoa
54,Nome,US,28.47,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
55,Bluff,NZ,47.16,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
56,Bethel,US,48.04,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
57,Qaanaaq,GL,-0.31,scattered clouds,77.484,-69.3632,Qaanaaq Hotel
58,Bacolod,PH,74.32,heavy intensity rain,10.6667,122.95,Planta Hotel & Residences
59,Mataura,NZ,39.69,few clouds,-46.1927,168.8643,Ellie's Villa
60,Hasaki,JP,57.29,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
61,Kaitangata,NZ,43.93,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
62,Flinders,AU,65.48,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
63,Tual,ID,83.3,light rain,-5.6667,132.75,Grand Vilia Hotel
64,Dubti,ET,93.96,clear sky,11.7361,41.0853,degu Shiferaw
65,Itaituba,BR,80.76,scattered clouds,-4.2761,-55.9836,Hotel Campos
66,Hilo,US,72.1,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
67,Kandrian,PG,77.18,few clouds,-6.2167,149.55,Kandrian Station
69,Bunia,CD,66.56,overcast clouds,1.5667,30.25,Gold Star International Hotel
70,Saint George,US,62.8,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
72,Houma,US,78.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
73,Talnakh,RU,-6.47,overcast clouds,69.4865,88.3972,Talnakh Hotel
75,Boguchany,RU,25.25,overcast clouds,58.3814,97.4531,Uyut
76,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
77,Butaritari,KI,80.55,light rain,3.0707,172.7902,Isles Sunset Lodge
79,Fairbanks,US,15.22,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
80,Cape Town,ZA,74.1,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
81,Manggar,ID,78.73,overcast clouds,-2.8833,108.2667,Guest Hotel
82,Port Alfred,ZA,63.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
83,Necochea,AR,72.55,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
85,Codrington,AU,58.48,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
87,Mount Vernon,US,50.0,broken clouds,40.9126,-73.8371,Ramada by Wyndham Bronx
88,Narsaq,GL,39.42,overcast clouds,60.9167,-46.05,Sleep In Narsaq
89,Pudozh,RU,35.11,clear sky,61.8099,36.5345,Guest-House na Transportnoy
90,Visnes,NO,41.83,scattered clouds,59.3556,5.2242,Park Inn Haugesund Airport
91,Ithaca,US,41.97,overcast clouds,42.4406,-76.4966,Meadow Court Inn
93,Longhua,CN,68.7,clear sky,23.6137,114.1919,Huadu Hotel
96,Kavieng,PG,81.64,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
97,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
98,Rio Grande,BR,82.51,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
99,Kulhudhuffushi,MV,85.21,broken clouds,6.6221,73.07,Haajy Guest House 1
100,Hamilton,US,59.25,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
101,Honningsvag,NO,37.15,clear sky,70.9821,25.9704,Nordkapp Vandrerhjem
102,Atuona,PF,78.85,few clouds,-9.8,-139.0333,Villa Enata
103,Mongo,TD,92.08,overcast clouds,12.1844,18.693,Résidences du Programme FIDA
104,Rikitea,PF,78.87,light rain,-23.1203,-134.9692,People ThankYou
105,Tarime,TZ,69.12,overcast clouds,-1.35,34.3667,Kifa Best Point Hotel
106,Sinnamary,GF,82.18,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
107,Constitucion,CL,57.87,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
108,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
109,Cabo San Lucas,MX,78.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
110,Lasa,IT,45.48,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
111,Clyde River,CA,3.43,broken clouds,70.4692,-68.5914,Qamaq Hotel
115,Port Lincoln,AU,62.76,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
116,Kahului,US,76.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
117,Kapaa,US,74.48,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
118,Tunceli,TR,52.16,broken clouds,39.1083,39.5471,Grand Hotel Şaroğlu
119,Arraial Do Cabo,BR,84.16,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
120,Atambua,ID,71.47,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
121,Carnarvon,AU,68.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
122,Kamaishi,JP,53.26,clear sky,39.2667,141.8833,Hotel Route Inn Kamaishi
124,Thabazimbi,ZA,59.2,light rain,-24.5917,27.4116,Eagle's Rest
125,Fortuna,US,52.93,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
126,Moranbah,AU,69.13,few clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
127,Hobart,AU,54.01,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
128,Makakilo City,US,74.01,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
129,Geraldton,AU,63.01,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
130,Linjiang,CN,49.03,scattered clouds,41.8069,126.9078,格林豪泰
131,Te Anau,NZ,48.29,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
132,Borba,BR,74.79,moderate rain,-4.3878,-59.5939,Hotel da Amazônia
133,San Quintin,MX,64.74,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
135,Vardo,NO,37.38,clear sky,70.3705,31.1107,Vardø Hotel AS
136,Komsomolskiy,UZ,68.72,overcast clouds,40.4272,71.7189,Ikathouse
137,Antofagasta,CL,65.48,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
138,Bandar-E Lengeh,IR,82.51,dust,26.5579,54.8807,کافی نت پارس
139,Pinega,RU,37.26,overcast clouds,64.7001,43.3936,"Gostevoy Dom Ooo ""Pinezh'yeles"""
140,Olafsvik,IS,38.68,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
142,Santa Cruz,BO,89.65,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
143,Tukrah,LY,61.0,clear sky,32.5341,20.5791,Lagrota restaurant
144,Pisco,PE,73.02,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
145,Thompson,CA,35.76,overcast clouds,55.7435,-97.8558,Burntwood Hotel
146,Victoria,HK,77.18,clear sky,22.2855,114.1577,Mini Hotel Central
