City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,54.32,79,76,5.48,light rain
1,Viedma,AR,-40.8135,-62.9967,68.05,36,100,4.81,overcast clouds
2,Puerto Ayora,EC,-0.7393,-90.3518,81.55,88,94,7.0,overcast clouds
3,Turan,VN,16.0678,108.2208,75.18,88,20,1.14,few clouds
4,Torbay,CA,47.6666,-52.7314,49.28,88,100,2.3,overcast clouds
5,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,59,40,29.33,scattered clouds
6,Goderich,CA,43.7501,-81.7165,37.9,75,87,10.36,overcast clouds
7,Yulara,AU,-25.2406,130.9889,60.64,29,0,1.14,clear sky
8,Port Elizabeth,ZA,-33.918,25.5701,67.1,95,40,9.22,scattered clouds
9,Mahebourg,MU,-20.4081,57.7,77.29,83,75,10.36,broken clouds
10,Ponta Do Sol,PT,32.6667,-17.1,68.63,71,38,14.45,scattered clouds
11,Cherskiy,RU,68.75,161.3,-15.02,100,100,2.26,overcast clouds
12,Bandarbeyla,SO,9.4942,50.8122,81.57,74,1,9.57,clear sky
13,Olga,RU,43.7444,135.2892,39.06,90,100,1.5,overcast clouds
14,Punta Arenas,CL,-53.15,-70.9167,50.11,50,0,11.5,clear sky
15,Zheleznodorozhnyy,RU,55.7503,38.0042,45.12,92,100,3.4,overcast clouds
16,Barrow,US,71.2906,-156.7887,-9.38,77,100,10.36,overcast clouds
17,Nizwa,OM,22.9333,57.5333,87.28,9,91,9.08,overcast clouds
18,Tasiilaq,GL,65.6145,-37.6368,30.36,70,43,1.12,scattered clouds
19,Severo-Kurilsk,RU,50.6789,156.125,29.7,78,98,17.76,overcast clouds
20,Vaini,TO,-21.2,-175.2,77.16,88,20,8.05,few clouds
21,Jamestown,US,42.097,-79.2353,38.52,57,100,13.8,overcast clouds
22,Naze,JP,28.3667,129.4833,67.12,94,93,12.33,overcast clouds
23,Khatanga,RU,71.9667,102.5,1.22,98,98,2.13,overcast clouds
24,Saint-Philippe,RE,-21.3585,55.7679,78.39,83,68,14.0,light rain
25,Mayumba,GA,-3.432,10.6554,79.18,85,92,5.1,overcast clouds
26,Oum Hadjer,TD,13.2954,19.6966,97.41,22,100,5.79,overcast clouds
27,Luderitz,NA,-26.6481,15.1594,70.41,61,0,10.11,clear sky
28,Mount Gambier,AU,-37.8333,140.7667,57.11,72,75,8.05,broken clouds
29,La Ronge,CA,55.1001,-105.2842,23.25,63,100,16.11,overcast clouds
30,Iqaluit,CA,63.7506,-68.5145,26.33,79,100,0.0,light snow
31,Ushuaia,AR,-54.8,-68.3,46.06,57,75,2.3,broken clouds
32,Upernavik,GL,72.7868,-56.1549,5.9,75,69,7.52,broken clouds
33,Trinidad,BO,-14.8333,-64.9,85.69,71,43,7.94,scattered clouds
34,Guerrero Negro,MX,27.9769,-114.0611,68.22,63,18,1.92,few clouds
35,Hermanus,ZA,-34.4187,19.2345,66.79,71,0,13.04,clear sky
36,Chokurdakh,RU,70.6333,147.9167,-20.72,100,100,1.79,overcast clouds
37,Balabac,PH,7.9868,117.0645,74.55,89,100,10.6,light rain
38,Coquimbo,CL,-29.9533,-71.3436,60.53,72,75,3.44,broken clouds
39,Mar Del Plata,AR,-38.0023,-57.5575,75.09,96,75,15.01,broken clouds
40,Ngorongoro,TZ,-3.2397,35.4875,55.76,70,95,4.34,overcast clouds
41,Hithadhoo,MV,-0.6,73.0833,83.84,72,26,9.89,scattered clouds
