City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mar Del Plata,AR,2022-04-06 22:59:20,-38.0023,-57.5575,75.22,73,0,11.5
1,Barrow,US,2022-04-06 23:00:47,71.2906,-156.7887,-7.58,71,0,9.22
2,Castro,BR,2022-04-06 23:00:47,-24.7911,-50.0119,64.38,93,46,2.35
3,Loanda,AO,2022-04-06 23:00:02,-8.8368,13.2343,76.68,85,68,6.64
4,Lorengau,PG,2022-04-06 23:00:48,-2.0226,147.2712,79.02,89,100,9.86
5,Pokhara,NP,2022-04-06 23:00:48,28.2333,83.9833,69.37,36,49,5.82
6,Kapaa,US,2022-04-06 23:00:48,22.0752,-159.319,80.58,74,18,5.01
7,Mataura,NZ,2022-04-06 23:00:49,-46.1927,168.8643,50.0,60,96,3.49
8,Cape Town,ZA,2022-04-06 22:55:56,-33.9258,18.4232,58.91,75,40,4.61
9,Margate,GB,2022-04-06 23:00:49,51.3813,1.3862,51.12,78,100,11.01
10,Atuona,PF,2022-04-06 23:00:49,-9.8,-139.0333,79.38,75,11,15.5
11,Natal,BR,2022-04-06 22:56:55,-5.795,-35.2094,80.82,89,40,9.22
12,Hualmay,PE,2022-04-06 23:00:50,-11.0964,-77.6139,71.31,80,34,11.61
13,Victoria,HK,2022-04-06 22:59:21,22.2855,114.1577,70.32,80,78,5.99
14,Georgetown,MY,2022-04-06 22:56:38,5.4112,100.3354,77.95,99,20,2.3
15,Tura,IN,2022-04-06 23:00:50,25.5198,90.2201,69.31,90,40,3.83
16,Hermanus,ZA,2022-04-06 23:00:51,-34.4187,19.2345,52.81,67,98,9.64
17,Khatanga,RU,2022-04-06 23:00:51,71.9667,102.5,12.47,83,100,17.9
18,Saint-Pierre,RE,2022-04-06 23:00:51,-21.3393,55.4781,78.48,81,100,18.41
19,Ponta Do Sol,PT,2022-04-06 23:00:52,32.6667,-17.1,61.0,73,5,3.38
20,Narsaq,GL,2022-04-06 23:00:52,60.9167,-46.05,34.02,84,96,2.55
21,Hithadhoo,MV,2022-04-06 23:00:52,-0.6,73.0833,81.64,68,0,1.25
22,Matamoros,MX,2022-04-06 23:00:53,25.5333,-103.25,88.79,8,0,8.59
23,Rikitea,PF,2022-04-06 23:00:53,-23.1203,-134.9692,78.75,69,56,10.87
24,Tasiilaq,GL,2022-04-06 23:00:53,65.6145,-37.6368,24.96,95,82,5.12
25,Punta Arenas,CL,2022-04-06 22:59:29,-53.15,-70.9167,44.71,61,0,5.75
26,Robore,BO,2022-04-06 23:00:54,-18.3333,-59.75,82.62,51,69,4.52
27,Hurghada,EG,2022-04-06 23:00:54,27.2574,33.8129,81.57,24,11,14.63
28,Mbuguni,TZ,2022-04-06 23:00:54,-3.5667,36.95,67.82,82,0,3.36
29,Esperance,AU,2022-04-06 23:00:55,-33.8667,121.9,61.41,82,69,11.56
30,Goundam,ML,2022-04-06 23:00:55,16.4145,-3.6708,88.54,11,21,14.23
31,Knysna,ZA,2022-04-06 23:00:55,-34.0363,23.0471,57.38,78,62,14.29
32,Deputatskiy,RU,2022-04-06 23:00:56,69.3,139.9,-13.18,100,100,4.12
33,Benton,US,2022-04-06 23:00:56,36.3334,-94.3335,62.51,20,7,7.0
34,Faizpur,IN,2022-04-06 23:00:56,21.1667,75.85,87.13,15,15,5.35
35,Mwene-Ditu,CD,2022-04-06 23:00:57,-7.0,23.45,65.93,91,91,0.92
36,Avarua,CK,2022-04-06 23:00:57,-21.2078,-159.775,84.25,79,40,16.11
37,Siderno,IT,2022-04-06 23:00:57,38.2779,16.302,60.33,74,1,6.53
38,Semporna,MY,2022-04-06 23:00:58,4.4818,118.6112,78.06,86,99,6.67
39,San Cristobal,VE,2022-04-06 23:00:58,7.7669,-72.225,69.44,94,91,2.39
40,Nome,US,2022-04-06 23:00:58,64.5011,-165.4064,5.11,70,13,4.43
41,Vila Velha,BR,2022-04-06 22:56:47,-20.3297,-40.2925,80.55,85,75,11.5
42,Ancud,CL,2022-04-06 23:00:59,-41.8697,-73.8203,57.22,98,100,14.36
43,Albany,US,2022-04-06 23:00:12,42.6001,-73.9662,52.79,83,100,3.8
44,Vaini,TO,2022-04-06 23:00:59,-21.2,-175.2,81.34,77,100,14.25
45,Krasnouralsk,RU,2022-04-06 23:01:00,58.3638,60.0407,28.94,91,77,6.44
46,Fukue,JP,2022-04-06 23:01:00,32.6881,128.8419,60.6,66,67,10.69
